Age,Annual_salary,Currency,Country,professional_work_experience_overall,professional_work_experience_field,education_level,Gender,grouped_industry,salary_in_usd
55-64,80000.0,USD,US,31 - 40 years,8 - 10 years,Master's degree,Man,Education,80000.0
25-34,58000.0,USD,US,2 - 4 years,1 year or less,College degree,Man,Marketing,58000.0
25-34,60200.0,EUR,Austria,8 - 10 years,5-7 years,College degree,Woman,Art,65618.0
35-44,,USD,US,11 - 20 years,1 year or less,Master's degree,Woman,Student,
35-44,105000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,,Engineering,105000.0
25-34,120000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Marketing,120000.0
25-34,63252.0,USD,US,5-7 years,5-7 years,College degree,Woman,Events,63252.0
45-54,60000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Woman,Law,60000.0
55-64,200000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Nonprofits,200000.0
25-34,43000.0,USD,US,1 year or less,1 year or less,College degree,Woman,Sales,43000.0
25-34,76000.0,USD,US,5-7 years,1 year or less,College degree,Woman,Engineering,76000.0
25-34,96000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Engineering,96000.0
35-44,210000.0,USD,US,11 - 20 years,2 - 4 years,Master's degree,Man,Computing,210000.0
25-34,70000.0,USD,US,5-7 years,1 year or less,College degree,Woman,Retail,70000.0
25-34,64260.0,USD,US,5-7 years,5-7 years,College degree,Woman,Nonprofits,64260.0
55-64,62000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Woman,Nonprofits,62000.0
35-44,78000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Healthcare,78000.0
35-44,165000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Nonprofits,165000.0
35-44,75000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,75000.0
25-34,47000.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Woman,Social Work,47000.0
35-44,78000.0,USD,US,11 - 20 years,5-7 years,Master's degree,Woman,Nonprofits,78000.0
25-34,100000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Nonprofits,100000.0
25-34,67000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Nonprofits,67000.0
35-44,85000.0,USD,US,5-7 years,5-7 years,PhD,Woman,Healthcare,85000.0
25-34,3000000.0,Other,India,5-7 years,5-7 years,College degree,Man,Computing,3000000.0
35-44,10700.0,USD,US,8 - 10 years,8 - 10 years,College degree,Man,Computing,10700.0
25-34,88000.0,EUR,Netherlands,8 - 10 years,8 - 10 years,Master's degree,Man,Computing,95920.0
18-24,680000.0,Other,India,2 - 4 years,2 - 4 years,College degree,Man,Business,680000.0
45-54,115000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Man,Other,115000.0
35-44,20000.0,EUR,Slovenia,2 - 4 years,2 - 4 years,College degree,Man,Engineering,21800.0
25-34,30000.0,USD,Thailand,5-7 years,2 - 4 years,Master's degree,Man,Retail,30000.0
25-34,99000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Education,99000.0
